search_term,title,url,asin,price,price_strikethrough,currency,rating,reviews_count,image_url,sales_volume,is_amazons_choice,is_sponsored,shipping_information
laptops,"15.6-FHD-Laptop Student-Laptop, 16GB RAM 1TB SSD, Intel Pentium Quad-Core N100 Processor (Up to 3.4GHz) Backlit Keyboard Fingerprint WiFi 6 BT5.2 Business-Laptop, 2 Years Warranty Windows 11 Laptop",https://www.amazon.com/15-6-FHD-Laptop-Student-Laptop-Quad-Core-Fingerprint-Business-Laptop/dp/B0DRVV3H89/ref=sr_1_1?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-1,B0DRVV3H89,299.99,439.99,USD,4.5,103,https://m.media-amazon.com/images/I/71K+7dKbFML._AC_UY218_.jpg,2K+ bought in past month,True,False,FREE delivery May 12 - 14
laptops,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-2,B0BS4BP8FB,299.99,349.99,USD,4.2,4271,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,5K+ bought in past month,False,False,"FREE delivery Mon, May 12Or fastest delivery Fri, May 9"
laptops,"2025 AMD Laptop, 16.1inch Laptop Computer with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics, WiFi 6, Backlit KB, 53Wh Battery, Gray",https://www.amazon.com/16-1inch-Computer-Windows-Graphics-Backlit/dp/B0F3CQ57YH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-3,B0F3CQ57YH,499.99,1699.99,USD,5.0,14,https://m.media-amazon.com/images/I/71oW0a2K8+L._AC_UY218_.jpg,,False,False,$5 delivery May 20 - 27
laptops,"2025 Laptop, Laptop Computer with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2",https://www.amazon.com/KAIGERR-Computer-Quad-Core-Processor-Windows/dp/B0F3CVDRCG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-4,B0F3CVDRCG,339.99,1399.99,USD,5.0,17,https://m.media-amazon.com/images/I/61j3uzJvVLL._AC_UY218_.jpg,,False,False,"FREE delivery Mon, May 12Or fastest delivery Fri, May 9"
laptops,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_5?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-5,B0947BJ67M,188.38,229.99,USD,4.1,2946,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,5K+ bought in past month,False,False,FREE delivery May 12 - 14
laptops,"ASUS 14"" FHD Laptop, Intel Pentium N6000 Processor, 4GB RAM, 224GB Storage(64GB eMMC+160GB Docking Station Set), Intel UHD Graphics, Webcam, Bluetooth, Win 11, Star Black",https://www.amazon.com/ASUS-Pentium-Processor-Graphics-Bluetooth/dp/B0DQJ9Y4JL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-6,B0DQJ9Y4JL,219.0,269.0,USD,4.4,2865,https://m.media-amazon.com/images/I/81kEod68yLL._AC_UY218_.jpg,300+ bought in past month,False,False,"FREE delivery Mon, May 12Or fastest delivery Fri, May 9"
laptops,Lenovo V15 Business Laptop | Intel Pentium N6000 4-core Processor | 15.6 FHD (1920 x 1080) | 40GB RAM | 1TB PCIe SSD | Military Durability | Ethernet RJ-45 | Anti-Glare | WiFi-6 | Windows 11 Pro,https://www.amazon.com/Lenovo-V15-Processor-Durability-Anti-Glare/dp/B0DX3T2CXS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-7,B0DX3T2CXS,499.99,,USD,4.6,11,https://m.media-amazon.com/images/I/71nZ7mY+NFL._AC_UY218_.jpg,500+ bought in past month,False,False,"FREE delivery May 14 - 16Or fastest delivery Fri, May 9"
laptops,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",https://www.amazon.com/HP-Stream-BrightView-N4120-Graphics/dp/B0CZKPF2QH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-8,B0CZKPF2QH,309.0,399.0,USD,4.2,2613,https://m.media-amazon.com/images/I/61Uw0-2+2YL._AC_UY218_.jpg,1K+ bought in past month,False,False,"FREE delivery Tue, May 13Or fastest delivery Fri, May 9"
laptops,"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",https://www.amazon.com/HP-Pavilion-Touchscreen-Anti-Glare-Processor/dp/B0C4G4L53W/ref=sr_1_9?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-9,B0C4G4L53W,429.99,,USD,4.2,1094,https://m.media-amazon.com/images/I/71aTEZOda0L._AC_UY218_.jpg,2K+ bought in past month,False,False,"FREE delivery Sat, May 10"
laptops,"ASUS 14"" FHD Laptop, Intel Celeron N4500 Processor, Windows 11 Home, MS Office 365, 4GB RAM, 564GB Storage (500GB External Drive + 64GB eMMC), with WOWPC External DVD & Fingerprint Reader",https://www.amazon.com/ASUS-Celeron-Processor-External-Fingerprint/dp/B0F3FLRF5H/ref=sr_1_10?dib=eyJ2IjoiMSJ9.rufu8Q4hDpJPbZm4OZksP4UsT06D2be0tgQGdg-vDdrTTZocu1RX-if9OOEdEKKJkMyHAk2AnmhGoR0-Ot_8T_nCUxN-gXGxWerhYYryiNqcxiNf_RRhKXrIURIBuX0K8DQB8CwJWtgdShkypSicUvtrML9tOFodlzooutALXrv5azg3-NgAkMMID11bwrbROw45VM7fs3KE5IlzSJLM35SONFvPPswNGzGY7n8n9Tc.bueRzXmMIT3N848Idh75k-2BvaDRq0vqyc_igqbSwJg&dib_tag=se&keywords=laptops&qid=1746659409&sr=8-10,B0F3FLRF5H,199.99,299.99,USD,4.3,9,https://m.media-amazon.com/images/I/71MM9goB4PL._AC_UY218_.jpg,100+ bought in past month,False,False,"FREE delivery May 12 - 14Or fastest delivery Fri, May 9"
