search_term,title,url,price,image_url
monitors,"HP Compaq LA2205WG 22"" Full HD LCD Monitor.",https://www.ebay.com/itm/356415755931?_skw=monitors&itmmeta=01JTM09P80527N7X1K7DM1TQV0&hash=item52fc08d69b:g:xJcAAOSw-WVnbeQ6&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ehKGPxeJ3uGElfEU%2BdoKYHvWS%2B6NjOe18v7z19agpRQdfBA0hE1bYyQAxNKDWtH6PCNwnpVb%2FEozr9BwQYxv8nkG4eNK8jifyw0ytskiiWl4bcJ14SUvBdRGgcJaRgNqBKt0FKGXImec14gDvpJiWhgki3mVaGv5ovrWAv1K2ZqTEgH0QCRjnym2m%2Fes%2FAD%2F0fO8ZomAPKjEvgt6V2G8S%2B7sVzOjAPkuF4uDtD3X%2ByqQ%3D%3D%7Ctkp%3ABlBMUITlpoDVZQ,$24.95,
monitors,"Dell UltraSharp U2722DE 27"" LCD IPS USB-C Hub Monitor, Excellent Condition",https://www.ebay.com/itm/267203174275?_skw=monitors&epid=16056587775&itmmeta=01JTM09P80WTKFCAW3HH7FP604&hash=item3e368cdf83:g:4UgAAOSw2e1npBju&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dJiJ14nZou%2BxOZFnxtdQq5Fj9yqTrtrKIsmwBbpusMuhVx0SORy9t3pRK72wEog%2BmWkPygcY2vbmz8s%2F7ZMEfLhRPmHjy8yagS1vE1VpqThhtE8jp0uQ7Y6kl7NLEc3NqUW1LsByO1OntrG3NIbskFz4xX5jPv5ulaitT5IY%2FJ1ofWLSOvVm8487d7GQFVZMoUeQbIdGNyaz%2BgwqyPG9xIbk7EygVMfVWKlgAJkN5viA%3D%3D%7Ctkp%3ABlBMUITlpoDVZQ,$189.98,
monitors,HP Z24n G2 24-inch Display,https://www.ebay.com/itm/387587168301?_skw=monitors&itmmeta=01JTM09P806WYBVGRBRBWSP0SC&hash=item5a3dfed82d:g:P24AAOSwZ4BnK~pC&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f9pcfKxkHVvbOmrGXAUF87hG%2FUn2NDGuoNXYSEXhA487lUseK98QvnVplfKBjA2xaMvpUq%2BG9dHzX3%2FeGt08NRwfIHKzqmHIGpX%2Fgllkn26IDzCR4e%2FfE3WIoT6ErxjUwEMxcL%2B%2FkGBfot00LnlML6woV3G4wBdUxGsKcIQkKmAg%2FoQ%2BHsdRlJwAjkYUbWrOzdgQwaaKjPImyVxSBaeBbv%2BQ092EvaJRRp2EjdTUBpmQ%3D%3D%7Ctkp%3ABlBMUITlpoDVZQ,$350.00,
monitors,New ListingDell U2212HMC 22 inch Widescreen LCD Monitor with no Stand,https://www.ebay.com/itm/388373986028?_skw=monitors&epid=1300661406&itmmeta=01JTM09P80KAPDX7H9ZR79Y4AH&hash=item5a6ce4baec:g:lV0AAOSws6poGXbK&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ew4ZCAuszGS9LEwooJnL46U9CSLTuo0cndwWLk2meAJ3%2Fyv%2BhuR9oFuDGjWNrN4fhL1zm55qd4MxM%2BZVwnbT8LdivBdEPHpi5FitPiKGubmnhMt2LUiJDlIEJ7ZPWaYYjQ2BdESAe66HpTMZv7iDycTm6dKNXlyXX%2FMf1Ib%2FzduudiCLQF0dZZssD09Y08fMhDxa2nZU%2BwKHhrYswcvdgDb%2BEAXnafc4caKlEopM6g%2FA%3D%3D%7Ctkp%3ABlBMUIblpoDVZQ,$24.99,
monitors,Acer Nitro 34” Gaming Monitor Curved 120Hz 1ms 3440x1440 Certified Refurbished,https://www.ebay.com/itm/267228781392?_skw=monitors&itmmeta=01JTM09P815Q54QSZDD3HM5M5D&hash=item3e38139b50:g:8WAAAeSw8sRoCSUa&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cm8Q%2BKocFLHQCGKuF3SBuw7zM44yi5AeUBhfiTZJt7qWnzJDsZIhxXDbC%2FONDBDGBUuzFtADWyWWgOzw4wYJVtL1UksIxr%2BSVDFIM%2FMvNMZiZYJGh6%2FHkN3EKI3VeqG2SY4NrQ4M0clQbWufSKCY%2F0%2Bf6SX8OolcG7zFEbnqBsdmD4JB%2F9p6my7JC0iKjCT7SUNhLVjXnJ8%2Bxnx6MxnDtUnXfE9MiAlkG4LGUNXKZ%2Fg467dpHWlf7HGJ%2BxotxPlv%2Bosvt5GoOHJhmlkXL2nE3C%7Ctkp%3ABk9SR4blpoDVZQ,$169.99,
monitors,"MSI G274QPF 27"" WQHD Flat Rapid IPS Gaming Monitor, 170Hz/1ms HDR400",https://www.ebay.com/itm/145613148025?_skw=monitors&epid=25064470377&itmmeta=01JTM09P81S0J6VE569F2MN2DZ&hash=item21e7384f79:g:BIgAAOSwbdlmtQ4Y&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fBB%2FBtk4Yn103GOXsTA55Jcldaqn2IoA1PeE0I3mRLkWDmMIQgi33w66rUkVsfJQpK%2B7i9cYXlfHRccaw0l%2BB4rJFmdlJIVJehvzIy3iZrk7EYQmVzTVGXI%2FRKb9WxeSjMoTmqFxnLDpI%2BYc5lxyOJYDfTfl25q1jEUZ3yV7gRPSUyseoJotwli9UoFjvKjhF3QAnpJluDQjmeBUep248fuFlZ2Xq2vnJFR2b3uWwlJg%3D%3D%7Ctkp%3ABk9SR4blpoDVZQ,$119.99,
monitors,"MSI Optix G32C4W 31.5"" FHD Curved Gaming Monitor, 165Hz, 1ms, 3000:1, Wide View",https://www.ebay.com/itm/145603455451?_skw=monitors&epid=26047705510&itmmeta=01JTM09P81BW296HRK35FD52EV&hash=item21e6a469db:g:XqoAAOSwy4ZmtTjj&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ctvU%2FlCT547GREKnkR6tMEUq2hs%2BGDvHALIJKMKABq%2FLdVrapT2rEvWCv%2BVaoUsk9KfE1%2BUfsBf8eAPejp1QmSQv8mOVp2DzNxtJt1G4knyGZxhdYPiSGZwgBplsrj20hyXd2Dt0xch2SFEtU%2Bn69hRyMtKJ%2BjHSsSmiV9AY9goUoaz5mgGrfON6EhFxJLFH2c1Vf1L6Z%2F4eqNdvUXT%2BFAImj5c%2BvByq7Kn09AjDXznS23tAoKBLqC%2FAYGShhjvSav2PrRmjkb8mIsXpMBFJ%2F3%7Ctkp%3ABk9SR4blpoDVZQ,$116.99,
monitors,"Samsung 27"" Curved Monitor C27F391FHN - White 1920x1080 HDMI VGA",https://www.ebay.com/itm/386850198847?_skw=monitors&epid=809538387&itmmeta=01JTM09P81ERG7XPF24XRWW205&hash=item5a1211953f:g:v~gAAOSwG5Fl7vua&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fofyfRKqmqKKXo%2BrS5yh7ALZLSs%2B3%2F3J81ri2ht%2BNWxLM4mvBrBb21wXUUxi%2FCv3g3G4gLXmnx%2FkOSxq5NYvMPeangGnvr8zwxOC%2Bc7n3W1i%2BNvHc8OY6j7d1bzYK7y3UX65dGqauBOeSwiYzcYBLrPl0nFTQ0BdJQrmT%2FltSzLlGri5nyUOtkjG9Mn2jaEwWT2%2F4FoucS1AwW%2BPE1%2BTl17kKYjj0mncKhL0U8boMV2EA1DMfCbBsiTMbSqlJcFZ8mRLUfkCgpDqsttNASBUQb%7Ctkp%3ABk9SR4blpoDVZQ,$79.99,
monitors,Gigastone 22 inch VA LED Back Light Monitor 75Hz FHD 1920 x 1080 with HDMI Cable,https://www.ebay.com/itm/314968560767?_skw=monitors&itmmeta=01JTM09PAJHEQ04KKPQ7GTPWE4&hash=item495596d47f:g:KkQAAOSwXiNlV0N2&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fxsyqXqA1P31RzJIhzQ8jyU461u1hZfgkY%2Ba78k%2FBF%2FWLO1hKA2JQ8hh76Uo4tn0CJasVO54HTALL056K9ak9wmYaL58LozKvuLc7d2xsCc%2FhntIoQkcYVswZPQOGxCxt1mFv81il2pSID0rKWowGcX4HLZ5nnX%2FnTWTUQYlV05IUuXj6iXI4iyDP4qvrJ8gxwI1mNcDYofMbXAVWOV6UFZwvnDRpqJxCgWbtn4deRbj%2Bs3dldfkFbKQ3kR85gS3ZEIl0Vc9aq0MmyusKFISA6%7Ctkp%3ABFBM5OWmgNVl,$52.99,
monitors,UPERFECT 22 Inch Portable Monitor 2K 2560*1440 Laptop Display Computer Monitor,https://www.ebay.com/itm/315692006992?_skw=monitors&itmmeta=01JTM09PAJHWQCMS0E75K9A66K&hash=item4980b5be50:g:JpEAAOSwTgdmx41H&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e%2BszxRPaQ6%2FknvdAAb6TmBvaD9ypW8x4JISObrrOr5dotaSxTwCLvmFilW6DZvbnLDIbAylCYiNbBFcqM0iDW87PkpSb1b9V%2FciLpukpeXEVv32OkVyTezOAYT7M0Rfe7G6lEAe14RADeU%2BjN5BgptdloraYzWEoR9r5DeO3Urd07KaRBknsaQua2C856o8nOenNazKzHDxJZp%2FPBlrDZDiRf3Wk1c3cmeKSX%2BhqmjkNhvD5jc1eBbfHzx1CzHDtgqC14uDu2gcFOuO77oxVjf%7Ctkp%3ABFBM5OWmgNVl,$128.99,
monitors,"Gigastone 27 inch IPS LED Back Light Monitor 75Hz FHD 1920 x 1080, HDMI Cable",https://www.ebay.com/itm/314968525345?_skw=monitors&itmmeta=01JTM09PAJXKG3YR57MBEDGQNM&hash=item4955964a21:g:r2wAAOSwolNlVz7i&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dWiu%2FjTOlXoSNzoLaXl4iQFrjhPJdwvCwBWPxOGY7l8FEoldNuIoJN48JBdMRnCiq42umnr5Arey6OpdveyTljChopUFt4ktuqCcbmyn%2FQqC9encK2yhLdRh6JdvnsJLJ2VNAQa%2FhLTCj%2FJLzu%2F6HA74xFaVH%2F47cMf09rYedC4Xm8z%2B7W8qMtUpx64YWNhDV9RohCIChqlhCywEvcEMviTAfSQAkx16vJIXn7QAdBxbVLA9g2GO8zM%2Fu1ZAa0VT46yVqBlPnWuq2tPCj2a7nF%7Ctkp%3ABFBM5OWmgNVl,$79.99,
monitors,UPERFECT 2K 22 Inch Portable Monitor Gaming Screen 2*USB C HDMI For Xbox PS 4/5,https://www.ebay.com/itm/226397169851?_skw=monitors&itmmeta=01JTM09PAJRY2CRSS30Q26BTCQ&hash=item34b652a8bb:g:TM8AAOSwxD9msfEG&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cXfu00SjHMpMwhPzj%2FHElJMcm%2B9LvMWOZAWtfgaehDsgbVzFCDiQyY1r4GGf%2FHh9WRe%2F%2BTlBiJCeY7oJChITA%2BwnMtZEoUQOMj0Ym9E9fgggLEmzH9MEnDBfA22EorFERQWqNM73MuGhXUM5TQ%2BMNs6Gxmw0VehkzWd2DTECVLzc4ghbBSLsLDZWcKDSNGgva5Y97aROvtUDq3DT0d%2BMLI5Vcu0nXwGH1bPQj6aPzNkvIAlVuTVpQNKdZmNAvjL%2FwLmDMu%2B3IWCJ48C0QIud6J5ykZme0EdtyD2ou%2FQtujJQ%3D%3D%7Ctkp%3ABFBM5OWmgNVl,$127.79,
monitors,"UPERFECT 22"" 2K IPS Monitor 2560x1440 Portable Monitor Gaming Screen for PS Xbox",https://www.ebay.com/itm/226056097063?_skw=monitors&itmmeta=01JTM09PAJ623PA2F9H2JNMX9T&hash=item34a1fe4d27:g:qysAAOSwKitn2tnf&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dqU1IoB0j7fb0KUsn1MoGZGP1jmxOjoNT9tk%2FGfpCr5v6g79ugEa6%2F5UkTqbiF8eJh72EsTVJHv%2F72a45T%2FaVi6nA3zDAC%2BpTia3R%2Fn1wdeuGE%2BiDYYABvMOfuBVXQFgM3khyTf4Oh9%2FId2nx0Qn3NDCtezd2IuCrJbLAp3PLSeg4FOEIXO%2BI7hykvK8A%2BESy2uLcxuPE1t%2BeFa1h%2BVOs2ZrgKhOUql3SHcO3NLd097e%2BMHQxrcdy%2BlCZFbrRu%2B4FKShhWB3C%2BeFRpaLO9dKL4%2BzOEnjHuE8XBhnF3HdAmkw%3D%3D%7Ctkp%3ABFBM5OWmgNVl,$127.49,
monitors,"Lenovo ThinkVision P24h-20 24"" 2560x1440 QHD IPS LED Monitor DP HDMI USB-C NEWOB",https://www.ebay.com/itm/376065859532?_skw=monitors&itmmeta=01JTM09PAJZA17RAMFC7D22THQ&hash=item578f459fcc:g:7H0AAOSwpJln0vkD&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ervDNBwEbtfqLb6CnIpo0Fy8X8GF3MIz4lLPDhTu%2F3WqeLXHxxeDPuJk--FkQsLVwLTbU3ey8C1qbvEgPXmWeFKrn7JBJ2ZJDCpxdYqPn7r%2Bo84ZQvW7SwHm2hMURWTns06Qe9gK9X5J8cDQtssJmPAAEhVaGtLnEyaatQ3x4YuSp%2BSalOYS%2BJMAX0ApFQZc070aTzEHIY0jv5%2Fp8F3hY3sO9rCxK3UmxllyJFmPT67lQVMWw0Y8r%2Bs3BlxFP2IzaBbjCOT4bhAjvIWYI91Rsp%7Ctkp%3ABFBM5OWmgNVl,$124.97,
monitors,"HP V241p V241 24"" Widescreen LED Monitor 1920 x 1080 Grade B w Stand and Cables",https://www.ebay.com/itm/363999060109?_skw=monitors&itmmeta=01JTM09PAJYM3H4RT0YAQ2BBFQ&hash=item54c008e08d:g:q~QAAOSwhJdhnrAj&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f%2B%2FMrxNib74w7R89kQIOr8AjNRL%2FfiKXlBU%2FluMgz%2FPCZ6RMmXR--pbBIJwGMGi1vpXSh5sW%2F4yRgkEPguoQEMYhRBnUaqK41jkedDQkOm9x3IMVoYh96GnZOldq7YXfqYbw75B%2BAnzaVrfktc8sSjAM7pFDliWwWOypkcHz2y%2BuKs2UoVbeH1cr5l5NSWpuaVWP%2B1AdtDpoLTwmBUHIJaD3UEJpeeNEX8xUGUFJZtjJ%2FXtRcfQS3%2FymT1z%2FnKoW4DXeLUVzDcAYKg8yDCnIrl%7Ctkp%3ABFBM5OWmgNVl,$54.99,
monitors,"HP E24 G4 23.8"" IPS FHD 60Hz Monitor 5ms Height, Tilt, Swivel HDMI, VGA",https://www.ebay.com/itm/356826361421?_skw=monitors&itmmeta=01JTM09PAJFG9YQPSTSN695RFV&hash=item5314822e4d:g:dhsAAeSwemBoCqEN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cLX5zmTjQiULnsy77WJNe07dnsEKF2qcR0sBYAEjzMN5WGyXKpMPivgX9kT5O56rEawVkHskD7nYEhVhRSsM%2BSeU%2FyrdLw6l80rlAPhS4qQs47CYk%2FQSn5c5vBNQJng51ccuRUZ8gkMM5%2BZXxApBSoR1EImqvfvIxG7JLqOrOXFVyUEYIJSxCuACTv05rhx8vxsq5OjdIOjCzgKfeQOpSNBuDfV%2FVx040%2BtT0t%2FuRpkLGn0sQVY611PxURC475xnLWzXNdkxUGSjvXAKBrK1%2B3%7Ctkp%3ABFBM5OWmgNVl,$48.74,
monitors,"New ListingDELL U2414H 24"" FHD 1920x1080 60Hz LED Monitor - MONITOR ONLY - TESTED",https://www.ebay.com/itm/365586344993?_skw=monitors&epid=175698458&itmmeta=01JTM09P811TPQYEEKWS1QD30C&hash=item551ea4ec21:g:HbEAAOSw4BpoGp3m&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d0SjEzcXQI7U4vzZ89VcRNsQOlFtqnmzoS9w5Ul0XrqXmsTNEgfvYlrevbrSXsxQ8SGLhoMOnSM%2FJpxBOIA7krrKxWFqqLtHw9AE6a5QXJh4Bjn1NZEQVbrRSVDAh5tLbFNxdA0TwmTUbgKenRcGGUs1UUMLvQXVe5jjrXFBZOuNmBUDLSrNPDnC%2FjhH7JCtmuLtsNV1PBxjp6%2FynwGJ2x%2FwpAB%2BrObfS0hweXITQ7TA%3D%3D%7Ctkp%3ABk9SR4blpoDVZQ,$39.95,
monitors,"Samsung 27"" FHD IPS Monitor 1920 x 1080 75 Hz 5ms HDMI & VGA LF27T350FHN",https://www.ebay.com/itm/395989074113?_skw=monitors&epid=4042207159&itmmeta=01JTM09P817XMDPADBZPD1YZF9&hash=item5c32c9c0c1:g:jBkAAeSwpFhn2xPQ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ePXiYk16imVsn3VXNhlsMOJngZYVeGU3LveIrNDu9hvjeIkbJn5OOFpmMJVqKANWQb2sC5DuqibfHVp04VMRygY71A2wNj%2F8N3KojI3jeURLy0HrLYSbRPAOOPgvS%2FNzwijojcjLJIPoCirdf0iAzS6rs8iaQsZVrdHnHbhceQdiypbT1u9nvblrEh%2BvhOHv2wjHgxR%2B3V%2FasGYLirXu%2F4RBUINyHZclEeg9AMcU085MsBEl0A%2B6EhuO8asiSGeASoKEzUtm7v91vBfZ0hXfxI%7Ctkp%3ABk9SR4blpoDVZQ,$79.99,
monitors,"Acer 24"" Monitor - SB242Y EBI Full HD (1920 x 1080) IPS Zero-Frame, 100Hz 1ms",https://www.ebay.com/itm/116574899202?_skw=monitors&epid=27051118672&itmmeta=01JTM09P815X2EEZ2G9M99EKED&hash=item1b2467cc02:g:wM8AAOSwoktnErNp&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fEru6eOMqdzES7h7WDyvHDxC5VrAcNexz12HSSGSTE6zg9S5WAOpqvi8EIbTqTZtw2vFnI8IuK5bk7TNK8MR86s1MaiWDM%2BQuG%2BkAGbn4lORgfc5vTgQWXy4yeOgw52tPcr6LO7miluqz2MtI1%2BiN0svrorqNODp3T8IooU6XI62QhyhT1eV872YRlS4o80qRX5ViLH2k%2F6JZxATOlbts4Y9fbJmeF6xkSdKz26HQpbw%3D%3D%7Ctkp%3ABk9SR4blpoDVZQ,$63.85,
monitors,"onn. 22"" FHD (1920 x 1080p) 100hz Bezel-Less Monitor w/ HDMI Cable- NEW MODEL !!",https://www.ebay.com/itm/116574888288?_skw=monitors&epid=8068251090&itmmeta=01JTM09P81C1Z5C4V3HMX5XS6B&hash=item1b2467a160:g:eCYAAOSw7Xpm-ype&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ejkglqQLgfEZnQaN6Edex3IM7u7YQq0n%2Ft%2FGXa5mbh%2B%2FIg55iSfcrD5XBxj2QB4GWyU%2FlZvW1CUTy4YFK6qiw3hKGoL6xS9S8qVV6ekiNsUD9zFC0amTLh%2FPFl5cY3R%2BTdd00eguoJar40%2Bqu5URkjeRTeuMqbQ6VjExNe7uh0QkhVt87k1AFZmmoKnKpGL8ful5r5%2BHiwkYh5CFpxmc4Zsltu2FmCP4HZQV6fAe8rQg%3D%3D%7Ctkp%3ABk9SR4blpoDVZQ,$52.55,
monitors,"Gigastone 27 inch IPS LED Back Light Monitor 75Hz FHD 1920 x 1080, HDMI Cable",https://www.ebay.com/itm/314968525345?_skw=monitors&itmmeta=01JTM09P8106Q1GZM6AZW922Y9&hash=item4955964a21:g:r2wAAOSwolNlVz7i&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c7YtT1dl9VtC64kZaEkCzjTliqonWONiVrgSTJjhtx8XXythL40K6znKwVVXpF3YPmbweeZCkqhUZXmgGGHH2mPjSajOG4WBCwcp0zBb8%2FiKU9w7qD1FdufM824gifg0fOJP5sYX1V0hIH7iY6X0dZJGc%2B8814r%2BdVCmhcWldrI9ZR6pspWHNSlW6ZQkR4tdE0V4F7%2FYuNAXKRIP0773rU4bYKZnxVrMmN3c04v1Z6h53Y1Km3aAVXbgNVXPWNPm8TmWGczDe17LOD2c8Xz4wU%7Ctkp%3ABk9SR4blpoDVZQ,$79.99,
monitors,"Elo 22"" touchscreen monitor (No Stand) ET2201L",https://www.ebay.com/itm/365570908487?_skw=monitors&itmmeta=01JTM09P81GP63TTQCTKHY65Z5&hash=item551db96147:g:Nx8AAOSwut5oESN2&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e5UT89R6rw50T2yHsVWYxwV7pFdtsK7vcEfl2HO638tcvTQbe0Rki66MV3nRfj7LqOPQjzq9XCE4dIX6JQvwmI0tR385l0hbIuyD5x%2BQhsCN7YBebdsA%2BxUCaTcsd7QR6rLJkPqI5KbNikO8F1hxmbkLAuhXL8KUgVv7GLzdD5HPH8LAIhuom8RWsU3ZuCF1nVonoVSFiOSlJ4vDS%2BB16ZlylTeaqRe6bgd8O67poXXg%3D%3D%7Ctkp%3ABlBMUIblpoDVZQ,$129.99,
monitors,"Barco Nio Color 21.3"" Dual LED Monitor 2MP K9601788 MDNC-2221 SEALED 5 YEAR ✅",https://www.ebay.com/itm/126688264472?_skw=monitors&epid=23061851035&itmmeta=01JTM09P814W1CJ5H805VV1F7Y&hash=item1d7f358118:g:slQAAOSwvM1m8YZR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1coc7UKQV%2FvJ0cHZgLpABWIFuJytkrmXUP9LD%2BZBnNnBLjHvVg49TBZ5UQQxtCdutJcODMcvPRPzL28xEC00OcBD8iU7oEzNwUj5YBVUKKhJ9RqFTLakJCWaVumPzmRxZl3wTIhS6ZzLF4RvymjfYYexlz8FVPu2vFxyZZIKRj%2FKJ6y1NLThpIv1IciMg%2Fk03KCAEcDaPVidItBmATqpGDMN95Y5ZaGsWsfhOsG0THDZA%3D%3D%7Ctkp%3ABlBMUIblpoDVZQ,"$2,899.99",
